,Game,AgeRestriction,GameDescription,Reviews,ReviewSentiment,ReleaseDate,Developer,FullPrice,DiscountedPrice,PEGI,MetacriticScore,Type,LastUpdate,GamesLanguages,GameFeatures,DRM Notice,GameAchievements,CuratorReviews
0,Counter-Strike: Global Offensive,No,"O Counter-Strike: Global Offensive (CS:GO) melhora a jogabilidade de ação baseada em equipes na qual foi pioneiro quando lançado há 19 anos. O CS:GO contém novos mapas, personagens e armas, além de contar com versões atualizadas de conteúdos do CS clássico (como de_dust2).","Análises em geral:
Muito positivas (7,123,730 análises)",Muito positivas,21/ago./2012,"Valve, Hidden Path Entertainment",Gratuito p/ Jogar,0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/16.png,83,"Ação, Gratuito p/ Jogar",Ver todas as atualizações (última: 31 de mar.),Ver todos os 28 idiomas disponíveis,"Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Oficina Steam
Compras em aplicativo
Usa Valve Antitrapaça
Estatísticas
Remote Play no celular
Remote Play no tablet
Remote Play na TV",Not required,Inclui 167 Conquistas Steam,"13,065 curadores analisaram este produto. Clique aqui para saber quais."
1,EA SPORTS™ FIFA 23,No,"FIFA 23 traz o Jogo de Todo Mundo aos gramados com a tecnologia HyperMotion2, a FIFA World Cup™ masculina e feminina (lançamento durante a temporada), times femininos, recursos de crossplay* e muito mais.","Análises em geral:
Neutras (81,301 análises)",Neutras,29/set./2022,EA Canada & EA Romania,"R$ 299,00","R$ 89,70",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,,"Simulação, Esportes",Ver todas as atualizações (última: 22 de mar.),Ver todos os 21 idiomas disponíveis,"Um jogador
JxJ on-line
JxJ tela dividida/compart.
Cooperativo on-line
Coop. tela dividida/compart.
Multijogador multiplataforma
Conquistas Steam
Compat. total com controle
Compras em aplicativo",Requer aceitação de contrato de terceiros,Inclui 39 Conquistas Steam,138 curadores analisaram este produto. Clique aqui para saber quais.
2,PUBG: BATTLEGROUNDS,No,"Jogue PUBG: BATTLEGROUNDS de graça. Pouse em locais estratégicos, saqueie armas e suprimentos e sobreviva para se tornar a última equipe de pé nos mais variados campos de batalha.","Análises em geral:
Neutras (2,164,204 análises)",Neutras,21/dez./2017,"KRAFTON, Inc.",Gratuito p/ Jogar,0,,,"Ação, Aventura, Gratuito p/ Jogar, Multijogador Massivo",Ver todas as atualizações (última: 5 de abr.),Ver todos os 17 idiomas disponíveis,"JxJ on-line
Estatísticas
Remote Play no celular
Remote Play no tablet",Requer aceitação de contrato de terceiros,Inclui 37 Conquistas Steam,"2,005 curadores analisaram este produto. Clique aqui para saber quais."
3,Resident Evil 4,Yes,"Sobrevivência é apenas o começo. Seis anos se passaram desde o desastre biológico em Raccoon City. Leon S. Kennedy, um dos sobreviventes, segue o rastro da raptada filha do presidente até uma vila europeia isolada, onde há algo terrivelmente errado com os habitantes.","Análises em geral:
Extremamente positivas (41,502 análises)",Extremamente positivas,23/mar./2023,"CAPCOM Co., Ltd.","R$ 249,00",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/18.png,,"Ação, Aventura",,Ver todos os 13 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Nuvem Steam",Requer aceitação de contrato de terceiros,Inclui 39 Conquistas Steam,233 curadores analisaram este produto. Clique aqui para saber quais.
4,Call of Duty®: Modern Warfare® II,Yes,O Call of Duty®: Modern Warfare® II coloca os jogadores dentro de um conflito global sem precedentes que conta com o retorno dos Operadores icônicos da Força-Tarefa 141.,"Análises em geral:
Neutras (200,544 análises)",Neutras,28/out./2022,"Infinity Ward, Raven Software, Beenox, , , , , ,","R$ 299,90","R$ 194,93",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/18.png,,Ação,Ver todas as atualizações (última: hoje),Ver todos os 14 idiomas disponíveis,"Um jogador
JxJ on-line
Cooperativo on-line
Multijogador multiplataforma
Conquistas Steam
Compat. total com controle
Legendas disponíveis
Compras em aplicativo",Not required,Inclui 24 Conquistas Steam,413 curadores analisaram este produto. Clique aqui para saber quais.
5,Path of Exile,No,"You are an Exile, struggling to survive on the dark continent of Wraeclast, as you fight to earn power that will allow you to exact your revenge against those who wronged you. Created by hardcore gamers, Path of Exile is an online Action RPG set in a dark fantasy world.","Análises em geral:
Muito positivas (199,031 análises)",Muito positivas,23/out./2013,Grinding Gear Games,Gratuito p/ Jogar,0,,86,"Ação, Aventura, Gratuito p/ Jogar, Indie, Multijogador Massivo, RPG",Ver todas as atualizações (última: 9 de dez. de 2022),Ver todos os 8 idiomas disponíveis,"Um jogador
MMO
JxJ on-line
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Compras em aplicativo
Remote Play no tablet",Requer aceitação de contrato de terceiros,Inclui 127 Conquistas Steam,"1,049 curadores analisaram este produto. Clique aqui para saber quais."
6,Grand Theft Auto V,No,"Grand Theft Auto V para PC oferece aos jogadores a opção de explorar o gigantesco e premiado mundo de Los Santos e Blaine County em resoluções de até 4K e além, assim como a chance de experimentar o jogo rodando a 60 FPS (quadros por segundo).","Análises em geral:
Muito positivas (1,393,531 análises)",Muito positivas,14/abr./2015,Rockstar North,"R$ 37,99",0,,96,"Ação, Aventura",Ver todas as atualizações (última: 13 de dez. de 2022),Ver todos os 13 idiomas disponíveis,"Um jogador
JxJ on-line
Cooperativo on-line
Conquistas Steam
Compat. total com controle
Remote Play no celular
Remote Play no tablet
Remote Play na TV",Requer aceitação de contrato de terceiros,Inclui 77 Conquistas Steam,"5,291 curadores analisaram este produto. Clique aqui para saber quais."
7,GrandChase,Yes,Grand Chase é um jogo online de RPG de ação em plataforma gratuito com gráficos inspirados em anime. Divirta-se com aventuras empolgantes em missões e PvP com personagens únicos.,"Análises em geral:
Neutras (20,205 análises)",Neutras,27/jul./2021,KOG,Gratuito para jogar,0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/12.png,,"Ação, Casual, Gratuito p/ Jogar",Ver todas as atualizações (última: ontem),1,Compras em aplicativo,Requer aceitação de contrato de terceiros,0,23 curadores analisaram este produto. Clique aqui para saber quais.
8,Bloons TD 6,No,Incrível Jogo de Defesa de Torres,"Análises em geral:
Extremamente positivas (217,314 análises)",Extremamente positivas,17/dez./2018,Ninja Kiwi,"R$ 27,89","R$ 6,97",,,Estratégia,Ver todas as atualizações (última: 3 de abr.),Ver todos os 17 idiomas disponíveis,"Um jogador
Cooperativo on-line
Conquistas Steam
Compras em aplicativo
Remote Play no celular
Remote Play no tablet",Not required,Inclui 146 Conquistas Steam,721 curadores analisaram este produto. Clique aqui para saber quais.
9,No Man's Sky,No,No Man's Sky é um jogo de ficção científica de exploração e sobrevivência num universo com geração processual infinita.,"Análises em geral:
Ligeiramente positivas (201,688 análises)",Muito positivas,12/ago./2016,Hello Games,"R$ 162,00","R$ 81,00",,61,"Ação, Aventura",Ver todas as atualizações (última: 5 de abr.),Ver todos os 14 idiomas disponíveis,"Um jogador
JxJ on-line
Cooperativo on-line
Conquistas Steam
Compat. total com controle
Compat. c/ contr. mov. rastr.
Compatíveis com RV
Nuvem Steam
Remote Play no tablet
Remote Play na TV",Requer aceitação de contrato de terceiros,Inclui 27 Conquistas Steam,"1,331 curadores analisaram este produto. Clique aqui para saber quais."
